name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,mood
The Bridge of Khazad Dum,The Lord of the Rings: The Fellowship of the Ring (Original Motion Picture Soundtrack),Various Artists,6HYCOHzY2xR4W2dOokH3ed,,,357400,0.299,0.36,0.492,0.905,0.202,0.0365,-13.19,0.0544,84.204,5,4,Energetic
F1 2012 - Formula 1 Theme (The Chain),F1 2012 - Formula 1 Theme (The Chain),London Music Works,4FCjmvAbW8G6Cui03LrMpy,,,104025,0.38,0.000742,0.699,0.836,0.08,0.357,-10.393,0.0399,155.378,4,4,Energetic
The X-Files,100 Greatest TV Themes,Various Artists,49qvGgyUS9HY3ZK86AuRZx,,,208187,0.409,0.0107,0.407,0.601,0.147,0.0453,-11.664,0.0388,179.769,4,3,Energetic
No Time for Caution,Interstellar (Original Motion Picture Soundtrack) [Expanded Edition],Hans Zimmer,5aaXqH8rgKZxg61HjECldi,,,246272,0.262,0.0545,0.224,0.95,0.118,0.0388,-20.231,0.0463,119.715,9,4,Energetic
Shawshank Prison - Stoic Theme,The Shawshank Redemption,Thomas Newman,5zMuzsE5kvd54FwraufeeK,,,112973,0.079,0.102,0.149,0.915,0.111,0.111,-20.372,0.0486,81.277,7,1,Energetic
"Merchant of Death (From ""Iron Man"")",Music from the Iron Man Trilogy,London Music Works,7iVkn7GZkqrTGvWHgJm9mu,,,131293,0.543,0.0688,0.561,0.728,0.0691,0.276,-13.757,0.0427,147.994,2,4,Energetic
The Imitation Game,The Imitation Game (Original Motion Picture Soundtrack),Alexandre Desplat,0o9ivTBX7mjTnaUYF4Gk6t,,,157027,0.318,0.438,0.308,0.889,0.109,0.0592,-13.676,0.0285,103.925,5,4,Energetic
I Am Iron Man,Original Motion Picture Score Iron Man 2,John Debney,6ygcEwkHbFhoWP09e76gRT,,,90627,0.519,0.0972,0.507,0.705,0.111,0.26,-8.258,0.0321,126.011,9,4,Energetic
Marvel Studios Fanfare,Music from the Avengers Movies,London Music Works,4iPIQG7k3rFp0V36rIJQ0Y,,,36267,0.376,0.0809,0.568,0.616,0.201,0.325,-9.343,0.0409,79.878,7,3,Energetic
The James Bond Theme (Original),The James Bond Collection,The City of Prague Philharmonic Orchestra,4y8GgkINBu7hH7IX9CBw87,,,116747,0.538,0.0361,0.403,0.593,0.0595,0.0798,-8.159,0.0312,134.394,0,3,Energetic
Dream Is Collapsing,Inception (Music From The Motion Picture),Hans Zimmer,5xKVYMxOHB2XRLCUafFrz6,,,143800,0.518,0.0708,0.434,0.748,0.421,0.0991,-12.232,0.0314,126.02,8,3,Energetic
Posthumus Zone (The Theme To The NFL On CBS),Posthumus Zone (The Theme to The NFL On CBS),E.S. Posthumus,4TAsee2U5nGXjkRGHFBOpO,,,55493,0.273,0.0144,0.758,0.759,0.338,0.301,-6.776,0.236,96.288,11,4,Energetic
Far Cry 3,Far Cry 3 (Original Game Soundtrack),Brian Tyler,5x3lpVdpLCWlbliQ7RY9pF,,,334725,0.56,0.219,0.302,0.881,0.0846,0.0482,-12.921,0.0278,102,9,4,Energetic
Sledgehammer,Original Motion Picture Score Iron Man 2,John Debney,7AQ4iA4dcgC2pL9eO9yef4,,,67400,0.569,0.00642,0.745,0.948,0.316,0.155,-8.903,0.0606,77.964,2,4,Energetic
Theme from Superman - Concert Version,Superman: The Movie (Original Motion Picture Soundtrack),John Williams,4tABZngfyleLXr5wxHgRxZ,,,264293,0.296,0.523,0.552,0.942,0.0946,0.244,-8.313,0.0418,88.683,0,3,Energetic
"Top Gun Anthem - From ""Top Gun"" Original Soundtrack",TOP GUN/SOUNDTRACK,Various Artists,0Eodsilv1jAn83TGezUzaE,,,250027,0.412,0.00907,0.677,0.658,0.0532,0.131,-7.711,0.0447,107.412,0,4,Energetic
Fallout,Mission: Impossible - Fallout (Music from the Motion Picture),Lorne Balfe,0llzwIl1LZHvOW2GIKJ3jQ,,,90080,0.434,0.341,0.404,0.899,0.0734,0.136,-13.207,0.0458,168.919,0,5,Energetic
Statues,"Harry Potter and the Deathly Hallows, Pt. 2 (Original Motion Picture Soundtrack)",Alexandre Desplat,775OxWq9wfVzmVDS0n3zff,,,144200,0.321,0.442,0.241,0.888,0.105,0.0795,-20.495,0.0373,128.98,1,4,Energetic
Halloween Theme - Main Title,Halloween Motion Picture Soundtrack,John Carpenter,7swocJUCUWTCiRUAU9oerC,,,175334,0.636,0.134,0.466,0.942,0.156,0.296,-15.534,0.0317,136.206,4,4,Energetic
Courtyard Apocalypse,"Harry Potter and the Deathly Hallows, Pt. 2 (Original Motion Picture Soundtrack)",Alexandre Desplat,5s9J2tSD2NGzr82jW87gw1,,,120387,0.137,0.487,0.313,0.918,0.111,0.131,-17.088,0.0386,97.365,1,4,Energetic
Test Drive - From How To Train Your Dragon Music From The Motion Picture,How To Train Your Dragon (Music From The Motion Picture),John Powell,2QTDuJIGKUjR7E2Q6KupIh,,,156307,0.259,0.0249,0.583,0.978,0.328,0.24,-9.489,0.0418,111.153,2,4,Energetic
Iron Man 3,Iron Man 3 (Original Motion Picture Soundtrack),Brian Tyler,7u5XBHnht6dyoRXRBb5soK,,,143453,0.381,0.0328,0.582,0.94,0.0843,0.0697,-11.52,0.0406,133.991,2,4,Energetic
The Battle,"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe (Original Motion Picture Soundtrack)",Harry Gregson-Williams,1ze3GTOVgAG5xLVrvcEoUS,,,428200,0.238,0.283,0.563,0.924,0.123,0.141,-11.933,0.0502,118.817,0,4,Energetic
"Thor: The Dark World - From ""Thor: The Dark World""/Score",Thor: The Dark World (Original Motion Picture Soundtrack),Brian Tyler,5rQmuNRjKT6t33JlNJbc6I,,,130920,0.325,0.0384,0.708,0.959,0.192,0.237,-9.672,0.0433,68.024,10,4,Energetic
He's a Pirate,Pirates of the Caribbean: The Curse of the Black Pearl (Original Motion Picture Soundtrack),Klaus Badelt,08QaHlMPWuO5PUxjl61bXn,,,90427,0.465,0.0206,0.687,0.929,0.121,0.13,-10.964,0.0495,70.507,10,4,Energetic
Le Mans 66,Ford v Ferrari (Original Score),Marco Beltrami,3zm3jy3iQlIwRGC7D5LyFz,,,342133,0.298,0.00279,0.618,0.921,0.125,0.0701,-11.667,0.0323,131.987,4,4,Energetic
Main Title Terminator 2 Theme - Remastered 2017,Terminator 2: Judgment Day (Remastered 2017),Brad Fiedel,2Q84nSfFAHtFNwZhAKH0Sa,,,117053,0.261,0.221,0.539,0.848,0.11,0.176,-11.215,0.0378,53.765,0,4,Energetic
The Winter Soldier,Captain America: The Winter Soldier (Original Motion Picture Soundtrack),Henry Jackman,53xdABEP9hyvBwvuXpzeXG,,,384667,0.252,0.00405,0.378,0.939,0.469,0.0351,-15.31,0.0393,114.955,1,4,Energetic
Coming Back Around,How To Train Your Dragon (Music From The Motion Picture),John Powell,0prLNHPLzTyroOlmWjyluS,,,171227,0.351,0.111,0.812,0.872,0.0469,0.125,-7.498,0.0699,112.991,4,4,Energetic
Into the Fray,Captain America: The Winter Soldier (Original Motion Picture Soundtrack),Henry Jackman,40JPWHA0x9667PDhipyS2m,,,365560,0.288,0.0829,0.455,0.824,0.155,0.0617,-17.032,0.0745,128.177,1,4,Energetic
Nothing Else Matters - Jungle Cruise Version Part 2,Jungle Cruise (Original Motion Picture Soundtrack),James Newton Howard,2ki2yoPRniWh3eivoGcAUM,,,269280,0.246,0.0732,0.202,0.904,0.477,0.0952,-15.498,0.0308,143.558,4,4,Energetic
The Equalizer,The Equalizer (Original Motion Picture Soundtrack),Harry Gregson-Williams,1EW89f5iyD8x0n89N3cE6w,,,399400,0.396,0.0612,0.424,0.832,0.0916,0.0547,-13.333,0.0338,139.305,7,4,Energetic
He's a Pirate,Pirates of the Caribbean: The Curse of the Black Pearl (Original Soundtrack),Klaus Badelt,1o6eMsmNIfNvrcat2Be93Q,,,90427,0.465,0.0206,0.687,0.929,0.121,0.13,-10.964,0.0495,70.507,10,4,Energetic
Taking a Stand,Captain America: The Winter Soldier (Original Motion Picture Soundtrack),Henry Jackman,6r9gskUHqOtP5rivvZuyEy,,,127467,0.403,0.302,0.461,0.932,0.0781,0.253,-13.225,0.032,89.656,2,3,Energetic
Stark,Iron Man 3 (Original Motion Picture Soundtrack),Brian Tyler,20HHoWFmjGYH05u9WIPKA6,,,271400,0.434,0.205,0.546,0.917,0.0911,0.0316,-12.695,0.059,104.089,2,4,Energetic
"Merida's Home - From ""Brave""/Score",Brave,Various Artists,1UTOh9RtM997He2qpEeBKx,,,92307,0.176,0.296,0.503,0.99,0.0828,0.211,-10.106,0.0491,141.925,2,4,Energetic
The Final Battle Begins,Guardians of the Galaxy (Original Score),Tyler Bates,3dmbpL8b6XIi3B0iM7G3Bw,,,261667,0.201,0.319,0.568,0.883,0.0639,0.148,-12.005,0.0614,76.633,0,3,Energetic
Eggsy Is Back,Kingsman: The Golden Circle (Original Motion Picture Score),Henry Jackman,3EYbyRomsGqlLyXP1FDMzv,,,350200,0.214,0.148,0.611,0.85,0.0854,0.0397,-9.616,0.0425,118.193,1,3,Energetic
Frank's Choice,The Punisher (Original Soundtrack),Tyler Bates,0I794wn3wgcvruEUsfztnl,,,216920,0.46,0.00327,0.458,0.882,0.157,0.0401,-7.918,0.0264,140.078,4,4,Energetic
Main Title Theme,Mission Impossible,Artie Kane,1lJOpbGH9gjjgcIumHIBrT,,,62827,0.548,0.0652,0.392,0.977,0.0997,0.215,-15.006,0.0759,170.102,8,5,Energetic
"Haircut - From ""Mulan""/Score",Mulan (Banda Sonora Original),Various Artists,2djW6WBQHBeAfXLw63rMQz,,,78987,0.427,0.0258,0.903,0.805,0.113,0.188,-8.804,0.0488,158.428,0,4,Energetic
Assemble,The Avengers (Original Motion Picture Soundtrack),Alan Silvestri,7sHsV9qH0x2NpB7w5JuteV,,,271853,0.197,0.204,0.482,0.827,0.152,0.0795,-11.979,0.0725,155.062,5,4,Energetic
Portals,Avengers: Endgame (Original Motion Picture Soundtrack),Alan Silvestri,0OVtnS3l4vThGxkdqCxN6K,,,197213,0.171,0.431,0.505,0.962,0.262,0.0796,-10.525,0.0521,92.613,7,4,Energetic
Thor Kills the Destroyer,Thor,Patrick Doyle,3t02S89P6VOr3RMxWQxT7Y,,,113667,0.178,0.0241,0.755,0.95,0.287,0.294,-12.194,0.0999,114.327,2,4,Energetic
"Thor, Son of Odin - From ""Thor: The Dark World""/Score",Thor: The Dark World (Original Motion Picture Soundtrack),Brian Tyler,4wHZxRXjpuNTD7f9f4jpIq,,,112733,0.234,0.393,0.535,0.959,0.115,0.114,-11.392,0.0427,135.87,2,4,Energetic
This Is Berk,How To Train Your Dragon (Music From The Motion Picture),John Powell,1g3Bc80hioYOSitxntNQYi,,,250267,0.255,0.512,0.489,0.808,0.229,0.3,-9.459,0.0587,123.267,3,4,Energetic
Anakin vs. Obi-Wan,Star Wars: Revenge of the Sith (Original Motion Picture Soundtrack),John Williams,3fzL0RuACZtv5cQ6R78Sjq,,,236027,0.324,0.576,0.42,0.795,0.116,0.145,-14.413,0.0359,92.724,0,4,Energetic
Attack on 10880 Malibu Point,Iron Man 3 (Original Motion Picture Soundtrack),Brian Tyler,02vOVqRSxR6it0E5oDKhqn,,,275413,0.204,0.286,0.654,0.896,0.388,0.0792,-9.634,0.0601,145.211,2,4,Energetic
Romantic Flight - From How To Train Your Dragon Music From The Motion Picture,How To Train Your Dragon (Music From The Motion Picture),John Powell,51v7yO07BdGgP6hv0OaDe2,,,116480,0.221,0.47,0.32,0.864,0.114,0.234,-11.829,0.0315,103.511,6,3,Energetic
Lemurian Star,Captain America: The Winter Soldier (Original Motion Picture Soundtrack),Henry Jackman,2xlZOAKTWVEAhZTrubJVmT,,,186267,0.397,0.172,0.432,0.778,0.145,0.0378,-20.755,0.0562,136.267,0,5,Energetic
Drink Up Me Hearties Yo Ho,Pirates Of The Caribbean: At World's End Original Soundtrack,Hans Zimmer,0HewdQ1l9bckQXPfIO3CYH,,,271880,0.126,0.322,0.444,0.93,0.0823,0.161,-13.561,0.0443,67.437,2,4,Energetic
"Main Title - From The ""Game Of Thrones"" Soundtrack",Game Of Thrones (Music From The HBO Series),Ramin Djawadi,2q6fxAvSpqXR4jx9Ne7RGz,,,106280,0.197,0.302,0.603,0.794,0.106,0.232,-16.116,0.0454,169.881,5,3,Energetic
Black Tears,Guardians of the Galaxy (Original Score),Tyler Bates,76MPOMsHa41j0AHZd7oFva,,,163227,0.264,0.371,0.56,0.71,0.0334,0.196,-10.507,0.0335,94.744,9,3,Energetic
Star Wars Main Title & A Galaxy Divided,Star Wars: The Clone Wars (Original Motion Picture Soundtrack),Kevin Kiner,3BlIgczFnUcms6qbVJwMrE,,,73160,0.345,0.0772,0.729,0.922,0.136,0.521,-4.402,0.0454,100.944,4,4,Energetic
Mustang Nismo,The Fast And The Furious: Tokyo Drift (Original Motion Picture Soundtrack),Various Artists,1KFg8BWCMwBRmDbEUdorty,,,143947,0.647,0.000402,0.666,0.711,0.117,0.299,-7.514,0.0758,99.986,9,4,Energetic
Earth to Asgard,Thor,Patrick Doyle,4LQEsLI5QjOVwHSR4ZZfgd,,,153173,0.441,0.348,0.591,0.968,0.0915,0.253,-16.504,0.0492,94.989,2,4,Energetic
Journey To Transylvania,Van Helsing (Original Motion Picture Soundtrack),Alan Silvestri,6bRwmKwRvdNMArAs3gBRlf,,,93947,0.591,0.215,0.67,0.953,0.107,0.201,-13.748,0.0756,146.284,0,5,Energetic
The Rubberband Man,The Rubberband Man / Now That We're Together [Digital 45],The Spinners,13Mzsb8VzRSZ5w3pM48cn6,,,213000,0.801,0.74,0.446,0.038,0.0832,0.925,-14.605,0.0735,97.898,10,4,Happy
Flowers,Flowers (Bonus Track Version),The Emotions,7BngbNGLogotcTM0PSvnYB,,,268733,0.734,0.712,0.495,0.00828,0.135,0.884,-10.881,0.0397,110.246,1,4,Happy
For What It's Worth,For What It's Worth,The Staple Singers,4la9jiqXYHQlEwbRhqYsd7,,,144320,0.763,0.655,0.621,0,0.158,0.825,-9.908,0.0374,103.309,2,4,Happy
I Get The Sweetest Feeling,I Get The Sweetest Feeling,Jackie Wilson,7F1eoVZd2ySSJ70iP3PN1m,,,178373,0.684,0.778,0.482,0.000351,0.148,0.749,-9.234,0.0371,123.532,5,4,Happy
Oogum Boogum Song,Eastbound & Down Soundtrack,Various Artists,1dpWCuTNt2Ald7vjBES5Qe,,,150827,0.887,0.645,0.506,0,0.238,0.913,-10.036,0.0458,112.625,7,4,Happy
Rubberband Man,Akeelah and the Bee (Original Motion Picture Soundtrack),Various Artists,3kyTpFLAJXbJLkq0PZPyMv,,,213813,0.812,0.613,0.743,0.00528,0.0468,0.92,-4.886,0.0631,97.554,10,4,Happy
"For the Love of You, Pts. 1 & 2",The Heat Is On,The Isley Brothers,7teF2kwC3GL00mQfwtxzo9,,,339960,0.686,0.665,0.374,1.91E-05,0.101,0.693,-11.029,0.0439,102.879,11,4,Happy
Spill the Wine,Anthology 1970-1974,War,0wva7TtE4QUkKtnMHP9BpT,,,246333,0.818,0.471,0.475,0,0.0943,0.902,-12.88,0.0708,120.378,2,4,Happy
Love or Leave,Pick of the Litter,The Spinners,7ExO4TkG9LnFMue2mDNY1D,,,300867,0.805,0.678,0.773,0,0.339,0.978,-7.165,0.0303,110.628,4,4,Happy
Friends & Family,Friends & Family,The Isley Brothers,1WR8eDyLw7uW5KDv7Sr50h,,,252524,0.79,0.344,0.503,0,0.0662,0.881,-11.169,0.109,101.05,8,4,Happy
Here but I'm Gone,New World Order,Curtis Mayfield,0zBNc7XcWXNHxeszwFsKiL,,,318200,0.772,0.632,0.368,0.00714,0.121,0.564,-11.183,0.0496,143.834,3,4,Happy
Love T.K.O.,TP (Expanded Edition),Teddy Pendergrass,3IVaPHncIZWWNjfg29HVLq,,,299120,0.779,0.367,0.543,0.000443,0.0541,0.842,-10.544,0.0923,145.869,8,4,Happy
Don't Let the Green Grass Fool You,Spinners,The Spinners,38PU39Jj3sT1hBvIUabM8k,,,240413,0.651,0.63,0.431,0,0.784,0.654,-8.31,0.0759,122.714,8,4,Happy
Hard to Handle,Dock of the Bay Sessions,Otis Redding,7FXuCkl1kfxwS5icDjTwbM,,,141000,0.666,0.573,0.55,1.84E-06,0.122,0.961,-8.672,0.0612,95.552,10,4,Happy
Twist And Shout,Twist & Shout,The Isley Brothers,0URp9jOJtiWKR1AfMGH2Qj,,,155400,0.774,0.65,0.811,0,0.0736,0.963,-6.526,0.0355,123.351,5,4,Happy
When Somebody Loves You Back,Life Is A Song Worth Singing (Expanded Edition),Teddy Pendergrass,7wJeXISGGTLVv2kBPtCJHw,,,296880,0.71,0.392,0.581,0,0.128,0.919,-9.108,0.0612,97.746,9,4,Happy
Mighty Love,Mighty Love,The Spinners,7DCav3rL0B3A5Lp7CXcatN,,,196653,0.816,0.585,0.631,0,0.477,0.718,-10.746,0.0541,110.497,7,4,Happy
Use ta Be My Girl,The Essential O'Jays,The O'Jays,7AmJATXFg6Mj2grzZXkqq2,,,198173,0.65,0.528,0.614,0,0.167,0.872,-7.367,0.0522,111.477,1,4,Happy
Everybody Plays the Fool - Remastered,A Quiet Storm,The Main Ingredient,0wCJqK9c6jnIhD2wHV0BoA,,,199493,0.62,0.627,0.51,0,0.181,0.878,-10.665,0.0431,83.477,10,4,Happy
"Footsteps in the Dark, Pts. 1 & 2",Go for Your Guns,The Isley Brothers,1tL5a9jowsWMtn3wkFYsG9,,,306800,0.679,0.402,0.374,2.49E-05,0.0541,0.871,-10.565,0.0482,80.86,11,4,Happy
How Could I Let You Get Away,Spinners,The Spinners,4jnPGIKO0aljX74CmUA2CH,,,229773,0.605,0.749,0.325,8.79E-06,0.216,0.671,-12.716,0.0274,74.432,7,4,Happy
Hot Fun in the Summertime,Greatest Hits,Sly & The Family Stone,4t6NQkpUmvpvLDCkl3XuwA,,,157040,0.656,0.634,0.65,0.0147,0.161,0.931,-11.643,0.0574,146.268,0,3,Happy
Everybody Plays the Fool,Everybody Plays The Fool: The Best Of The Main Ingredient,The Main Ingredient,3DkqEHCCqlkknDfksHWWu0,,,202253,0.485,0.704,0.641,9.92E-05,0.159,0.855,-8.752,0.0418,168.645,3,4,Happy
Between the Sheets,Between the Sheets,The Isley Brothers,3ApIYu95WxjzpQCnsLBbrv,,,340013,0.719,0.661,0.377,0,0.0902,0.575,-12.585,0.0974,83.919,9,4,Happy
Then Came You,Then Came You,Dionne Warwick,2ARBXxaM4pzXhGpFoZPAg7,,,240240,0.803,0.643,0.73,0,0.585,0.816,-7.458,0.0608,116.626,9,4,Happy
Patches,Patches,Clarence Carter,5vk9PL1tTyWrQY3TqRq2Rg,,,193827,0.639,0.617,0.544,0,0.479,0.793,-12.843,0.141,80.844,4,4,Happy
You Sexy Thing,Hot Chocolate,Hot Chocolate,714hERk9U1W8FMYkoC83CO,,,244920,0.791,0.522,0.734,0.00165,0.167,0.962,-5.464,0.0629,105.854,5,4,Happy
The Rubberband Man,Happiness Is Being With the Spinners,The Spinners,5XVb0qfmmkmmsyy7j8oObk,,,444133,0.821,0.414,0.611,0.000152,0.0943,0.96,-9.795,0.0555,97.264,10,4,Happy
Keep It Comin' Love,Part 3,KC & The Sunshine Band,29sk7ZVXdJvE7AOnBg0DmP,,,269960,0.785,0.684,0.879,0.000201,0.0649,0.968,-6.949,0.0275,110.809,3,4,Happy
Shining Star,That's The Way Of The World,"Earth, Wind & Fire",0RgcOUQg4qYAEt9RIdf3oB,,,170160,0.676,0.668,0.692,0.00915,0.13,0.799,-13.093,0.052,102.516,9,4,Happy
Loco in Acapulco,Indestructible,Four Tops,7gfAYm7X5HMSuKcO4dy8Wi,,,274067,0.818,0.413,0.705,0,0.0269,0.965,-9.609,0.0329,123.436,4,4,Happy
You're Throwing a Good Love Away,"Yesterday, Today & Tomorrow",The Spinners,0t3JTvtTR1Cj87cpx29u4A,,,517747,0.442,0.821,0.497,2.39E-05,0.521,0.783,-12.112,0.0519,187.51,5,4,Happy
(Sittin' On) the Dock of the Bay,The Dock of the Bay (Mono),Otis Redding,3zBhihYUHBmGd2bcQIobrF,,,163756,0.769,0.684,0.367,1.62E-05,0.081,0.535,-11.226,0.0312,103.621,2,4,Happy
Got to Get You Into My Life,"The Best Of Earth, Wind & Fire Vol. 1","Earth, Wind & Fire",4vGQNeWAh2WKPYsqhp5wSg,,,243107,0.698,0.59,0.608,0.00148,0.155,0.779,-9.571,0.0691,140.901,8,4,Happy
"Groove with You, Pts. 1 & 2",Showdown,The Isley Brothers,5TywrBF82AUQ83pXuMXjXg,,,291880,0.607,0.726,0.467,0.00791,0.131,0.492,-10.105,0.055,164.299,9,3,Happy
Lovin' You,Let Me Touch You,The O'Jays,01teVPgKyIFdbqo65UahOX,,,318253,0.623,0.611,0.409,2.54E-06,0.2,0.613,-10.802,0.0357,74.75,7,4,Happy
Best of My Love,Rejoice,The Emotions,2M2WJ7gBlcKNxdhyfPp9zY,,,220560,0.784,0.447,0.713,0.14,0.0904,0.97,-6.865,0.0339,115.443,0,4,Happy
Games People Play,Pick of the Litter,The Spinners,53R01ylELwpQO5TBZdqKsM,,,284133,0.675,0.529,0.45,0.00109,0.0632,0.634,-10.878,0.0381,76.195,11,4,Happy
Take Me to the River,Al Green Explores Your Mind,Al Green,62r1CS9zL1FL5Ilb7hLX7n,,,225373,0.786,0.218,0.418,0.000158,0.134,0.94,-11.115,0.0432,119.101,9,4,Happy
Groovin',Groovin' (Mono),The Young Rascals,3c2kMiSB86tVq1J4oULmvL,,,151289,0.605,0.595,0.455,0,0.0816,0.678,-8.903,0.0301,106.825,5,4,Happy
Love Makes the World Go 'Round,Working On A Groovy Thing,Barbara Lewis,1RbM0UssGaj1E1FqjZ1v8b,,,170987,0.641,0.564,0.347,0.00089,0.532,0.769,-16.706,0.0413,127.811,0,4,Happy
Under the Boardwalk,Under the Boardwalk,The Drifters,65jrjEhWfAvysKfnojk1i0,,,161960,0.747,0.908,0.226,0.000168,0.107,0.778,-13.635,0.0415,123.789,7,4,Happy
Just Can't Get You Out of My Mind,Spinners,The Spinners,35YX2yqLiqpx5QJG9UqLHF,,,219493,0.728,0.503,0.677,0.000558,0.373,0.828,-7.413,0.0468,108.763,9,4,Happy
Cowboys to Girls,Cowboys to Girls,The Intruders,6n3WVi0pxFQuAjAQRPPryY,,,159080,0.278,0.797,0.432,0,0.732,0.838,-9.181,0.0402,208.007,4,4,Happy
Let's Do It Again,Let's Do It Again Original Sound Track,The Staple Singers,1YQIOrrOg1UDqZCGcZWQ0a,,,293600,0.637,0.394,0.524,6.91E-06,0.129,0.82,-11.397,0.0428,80.299,1,4,Happy
Don't Ask My Neighbors,Rejoice,The Emotions,2GZe8LsPldakpQy5T8151f,,,267067,0.563,0.669,0.511,2.48E-05,0.0974,0.606,-9.544,0.0336,140.235,1,4,Happy
"Medley: Working My Way Back to You / Forgive Me, Girl",Dancin' and Lovin',The Spinners,5OU4PqYhwypDsiviprGhSy,,,243200,0.84,0.469,0.777,3.58E-06,0.216,0.92,-6.399,0.0451,121.633,9,4,Happy
Reet Petite,He's So Fine,Jackie Wilson,3h4udS0WeWbsur3yfjvnm4,,,169240,0.664,0.447,0.66,0,0.298,0.873,-6.526,0.13,84.345,5,4,Happy
"Hold On, I'm Comin'","Hold On, I'm Comin'",Sam & Dave,6PgVDY8GTkxF3GmhVGPzoB,,,155707,0.803,0.196,0.338,0.038,0.097,0.912,-14.029,0.0349,106.841,6,4,Happy
They Just Can't Stop It (Games People Play),The Very Best of the Spinners,The Spinners,6IBPzyh7XTASQswD0coJN7,,,210465,0.722,0.505,0.406,0.000444,0.0867,0.638,-11.859,0.0359,76.459,11,4,Happy
The Snake,Northen Soul: Super Rare Tracks,Various Artists,3UMqQ1QTgvAj8FTQMoNPfk,,,203800,0.548,0.361,0.464,0,0.107,0.924,-14.471,0.0415,148.191,9,4,Happy
Soul Man,Soul Men,Sam & Dave,4eGHlplaq1ME8oetnTuFFf,,,159000,0.79,0.263,0.41,0.00314,0.174,0.815,-13.241,0.0343,112.345,0,4,Happy
Just You and Me Baby,Spinners,The Spinners,4ow3xkO7rvPYGdEvX14w3f,,,179680,0.573,0.75,0.61,1.03E-06,0.485,0.629,-7.779,0.0303,140.656,5,4,Happy
Superfly,Superfly (Soundtrack from the Motion Picture) [Deluxe 25th Anniversary Edition],Curtis Mayfield,01MOVvCmPmnLbAePdB3N1t,,,240160,0.779,0.552,0.776,0.000108,0.0998,0.761,-7.393,0.138,119.899,2,4,Happy
Kiss and Say Goodbye,The Manhattans (Expanded Version),The Manhattans,0rHiGIRASJq8snJGFJMpnI,,,266733,0.645,0.555,0.42,0,0.125,0.583,-10.09,0.0624,129.084,10,4,Happy
Lonely Teardrops,Lonely Teardrops,Jackie Wilson,6TYR3IVgIwDK6ydc2EPEQq,,,166213,0.524,0.406,0.478,0,0.74,0.843,-8.894,0.118,137.133,7,4,Happy
Cupid / I've Loved You for a Long Time,The Very Best of the Spinners,The Spinners,6zKFVGEDGLtf63Yxpz8kzJ,,,236693,0.783,0.355,0.669,0,0.0826,0.871,-9.438,0.043,122.772,9,4,Happy
Something You Got,The Exciting Wilson Pickett,Wilson Pickett,1aykpQ3QYytGydJxP7qyVn,,,178240,0.766,0.174,0.52,5.04E-06,0.0306,0.936,-10.709,0.0359,109.89,0,4,Happy
Groove Me,King Floyd,King Floyd,1sG3M0yjIYweejCR9Amyh6,,,183267,0.908,0.26,0.421,0.00065,0.0805,0.861,-9.382,0.0648,102.977,11,4,Happy
"Baby, Now That I Found You",The Foundations,The Foundations,2gujyXPl0FYVvr554ZhvvU,,,158533,0.643,0.568,0.787,0,0.0592,0.96,-4.466,0.0392,118.234,0,4,Happy
Back Stabbers,Back Stabbers,The O'Jays,0KpMY3D2G8253VTZbDBUmA,,,186093,0.751,0.317,0.714,0,0.639,0.935,-11.614,0.0374,124.379,10,4,Happy
Ain't No Price on Happiness,Mighty Love,The Spinners,01OUk7upOV5oWavszGavr3,,,243067,0.654,0.628,0.56,0,0.124,0.6,-9.2,0.173,155.119,4,4,Happy
The Snake,Hal Blaine Plays,Various Artists,5zxTrMPgYWcvjgMxB3ayAy,,,212187,0.534,0.464,0.622,0,0.449,0.931,-9.659,0.0374,147.996,9,4,Happy
If You Want Me to Stay,Fresh,Sly & The Family Stone,2BydLQAh7CUIFvSEqAMc4x,,,180493,0.843,0.28,0.48,0.000782,0.108,0.762,-11.574,0.0492,101.993,11,4,Happy
Build Me Up Buttercup - Mono,The Foundations,The Foundations,6sPOmDulFtLzfX25zICNrC,,,177533,0.659,0.315,0.513,0,0.283,0.855,-7.186,0.0293,133.609,0,4,Happy
Superfly,Superfly (O.S.T.),Curtis Mayfield,4XsH9zBWPOCdXoH9ZDdS8r,,,233600,0.784,0.457,0.708,7.50E-05,0.0913,0.748,-9.141,0.11,120.11,2,4,Happy
I'm Tired of Giving,Spinners / 8,The Spinners,0zClyoGI7xWCOG9tcg5j2d,,,251333,0.604,0.829,0.307,0.000624,0.266,0.641,-13.157,0.0271,96.425,1,1,Happy
Papa Was A Rollin' Stone - Single Version,"20th Century Masters: The Millennium Collection: Best Of The Temptations, Vol. 2 - The '70s, '80s, '90s",The Temptations,7MiLmLbwNoyf47xQ4TCVYp,,,419640,0.817,0.451,0.405,0.0507,0.0468,0.898,-13.513,0.0811,121.467,10,4,Happy
Jimmy Mack,Watchout!,Martha Reeves & The Vandellas,7N3UAu6FkwdBg9J7OONBBP,,,163733,0.701,0.765,0.517,0,0.385,0.688,-7.951,0.0357,127.401,2,4,Happy
